"Treatment","Year","Depth","cil","mean","ciu","measured","year_measured"
"CTL",2020,10,20.7260477871631,27.9191878623077,30.1494747760343,"oc_mg_ha","2020_oc_mg_ha"
"CTL",2020,20,16.9387934341776,23.4487246206667,27.9508305978313,"oc_mg_ha","2020_oc_mg_ha"
"CTL",2020,30,13.976625304285,18.5203896353333,20.7841516977534,"oc_mg_ha","2020_oc_mg_ha"
"CTL",2020,40,14.1731943976302,18.8578473486667,21.2074840047283,"oc_mg_ha","2020_oc_mg_ha"
"CTL",2020,50,13.4536828017519,17.7868335306667,19.9280201208026,"oc_mg_ha","2020_oc_mg_ha"
"CTL",2021,10,21.3117971808014,30.4277695246154,35.7205169286134,"oc_mg_ha","2021_oc_mg_ha"
"CTL",2021,20,15.4845517845252,20.9506903730769,22.3068182097697,"oc_mg_ha","2021_oc_mg_ha"
"CTL",2021,30,12.112856222232,16.6776128696154,18.5699982885785,"oc_mg_ha","2021_oc_mg_ha"
"CTL",2021,40,10.4727788579323,14.3936295850769,16.2352783216397,"oc_mg_ha","2021_oc_mg_ha"
"CTL",2021,50,9.93168581356217,13.5164791010769,14.5991714413774,"oc_mg_ha","2021_oc_mg_ha"
"TRT",2020,10,24.0831191943869,31.548325118,33.8992113488098,"oc_mg_ha","2020_oc_mg_ha"
"TRT",2020,20,15.0553364755278,20.806268057,23.8044057023915,"oc_mg_ha","2020_oc_mg_ha"
"TRT",2020,30,11.6734659557301,16.8654005656667,20.190987412705,"oc_mg_ha","2020_oc_mg_ha"
"TRT",2020,40,12.1717295142375,17.1627501116,20.4394567805315,"oc_mg_ha","2020_oc_mg_ha"
"TRT",2020,50,12.5241128736236,17.3351728277333,20.4247448514082,"oc_mg_ha","2020_oc_mg_ha"
"TRT",2021,10,30.0179338682127,41.4776477853846,45.1320388534483,"oc_mg_ha","2021_oc_mg_ha"
"TRT",2021,20,19.6235351241421,26.5814523871429,29.4009842268163,"oc_mg_ha","2021_oc_mg_ha"
"TRT",2021,30,11.1964711503586,16.2859943596154,19.3812636904077,"oc_mg_ha","2021_oc_mg_ha"
"TRT",2021,40,9.9846295357515,15.4907561527143,19.2502650795578,"oc_mg_ha","2021_oc_mg_ha"
"TRT",2021,50,11.979499104528,17.308245702,20.6017586228875,"oc_mg_ha","2021_oc_mg_ha"
"CTL",2020,10,1.81869259362875,2.54837167646667,3.00997283851161,"on_mg_ha","2020_on_mg_ha"
"CTL",2020,20,1.33813181993181,1.87997556966667,2.24794630774041,"on_mg_ha","2020_on_mg_ha"
"CTL",2020,30,1.15544536838105,1.640599374,2.02770147182253,"on_mg_ha","2020_on_mg_ha"
"CTL",2020,40,0.992815896977995,1.42248925058333,1.68721741461864,"on_mg_ha","2020_on_mg_ha"
"CTL",2020,50,0.895757931360264,1.29833212066667,1.55013607873134,"on_mg_ha","2020_on_mg_ha"
"CTL",2021,10,1.96975147151549,2.61892105093333,2.9917067100028,"on_mg_ha","2021_on_mg_ha"
"CTL",2021,20,1.39873930729879,1.83284260366667,2.02836097681434,"on_mg_ha","2021_on_mg_ha"
"CTL",2021,30,1.13961931671537,1.5112073652,1.71415267270276,"on_mg_ha","2021_on_mg_ha"
"CTL",2021,40,0.995839969427631,1.31869015866667,1.48976762678986,"on_mg_ha","2021_on_mg_ha"
"CTL",2021,50,0.929218261121369,1.21467432186667,1.33152384071608,"on_mg_ha","2021_on_mg_ha"
"TRT",2020,10,2.08141156870226,2.79914834221429,3.1445728070464,"on_mg_ha","2020_on_mg_ha"
"TRT",2020,20,1.27411170686703,1.77877357664286,2.05622376015896,"on_mg_ha","2020_on_mg_ha"
"TRT",2020,30,0.915414040974442,1.31540004157143,1.53931977798681,"on_mg_ha","2020_on_mg_ha"
"TRT",2020,40,0.960601632849901,1.3373090795,1.53018426148006,"on_mg_ha","2020_on_mg_ha"
"TRT",2020,50,1.00589165423007,1.35879899542857,1.52918166786499,"on_mg_ha","2020_on_mg_ha"
"TRT",2021,10,2.73802078737712,3.75171786007143,4.21061914715261,"on_mg_ha","2021_on_mg_ha"
"TRT",2021,20,1.72302942004638,2.30573218364286,2.48613334996876,"on_mg_ha","2021_on_mg_ha"
"TRT",2021,30,0.997212182112454,1.33727870328571,1.48248587417353,"on_mg_ha","2021_on_mg_ha"
"TRT",2021,40,0.990211040056785,1.37174637142857,1.58502671308272,"on_mg_ha","2021_on_mg_ha"
"TRT",2021,50,1.06807469916314,1.43669773714286,1.62797738180456,"on_mg_ha","2021_on_mg_ha"
